method,candidate_recall,avg_cands_per_s1,candidate_count,reduction_ratio,idx_build_time_sec,idx_build_mem_mb,query_time_sec,query_mem_mb,downstream_macro_precision,downstream_macro_recall,downstream_macro_f05
Baseline (4-Pass Blocking),0.7014,615.78,6157813,0.999940,0.0,0.0,6.62,1420.5,0.9853,0.7208,0.8497
Rare-Token Blocking,0.2851,33.93,339262,0.999997,22.84,1216.9,25.22,1485.0,N/A,N/A,N/A
Word TF-IDF (k=5),0.3576,5.00,49585,0.999999,194.14,1861.3,94.90,1950.2,N/A,N/A,N/A
Word TF-IDF (k=10),0.4388,9.92,99170,0.999999,194.14,1861.3,94.90,1950.2,N/A,N/A,N/A
Word TF-IDF (k=20),0.5026,19.83,198321,0.999998,194.14,1861.3,94.90,1950.2,N/A,N/A,N/A
Word TF-IDF (k=50),0.5858,49.52,495233,0.999995,194.14,1861.3,94.90,1950.2,N/A,N/A,N/A
Char N-gram TF-IDF (k=5),0.7093,5.00,50000,0.999999,244.61,2782.1,185.30,2850.0,N/A,N/A,N/A
Char N-gram TF-IDF (k=10),0.7867,10.00,100000,0.999999,244.61,2782.1,185.30,2850.0,N/A,N/A,N/A
Char N-gram TF-IDF (k=20),0.8187,20.00,200000,0.999998,244.61,2782.1,185.30,2850.0,N/A,N/A,N/A
Char N-gram TF-IDF (k=50),0.8587,50.00,500000,0.999995,244.61,2782.1,185.30,2850.0,N/A,N/A,N/A
Hybrid A (Baseline + Rare Token),0.7842,643.21,6432118,0.999938,22.84,1216.9,31.84,1520.0,0.9782,0.7915,0.8931
Hybrid B (Baseline + Char N-gram k=20),0.8865,792.14,7921412,0.999923,244.61,2782.1,191.92,2890.0,0.9614,0.8740,0.9184
Hybrid C (Baseline + Rare Token + Char k=20),0.9124,819.55,8195480,0.999921,267.45,2782.1,217.14,2950.0,0.9540,0.8920,0.9221
